Training config | heldout=DTLZ7 | training_set=1 | envs=24 | workers=24 | reward_scheme=1 | policy=epsilon_greedy | surrogate=tabpfn | sampling_backend=tabpfn_gpu_sync | epochs=50 | sur_steps=2 | updates_per_epoch=80 | train_device=cuda | rollout_device=cpu | surrogate_device=cuda | lr=1.0e-04 | batch_size=64 | replay_size=50000 | gamma=1.0000 | target_update=20 | log_path=training_logs\tabpfn_trainer_dtlz7_set1_20260517_173108.txt
[Epoch 0001] start | set=1 | heldout=DTLZ7 | envs_active=24/24 | surrogate=tabpfn | sur_steps=2 | eps=0.300
[TabPFN sync] step=012 | sigma | mode=std | envs=24 | points=904 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.000 | query_transform_sec=0.000 | batch_prepare_sec=0.000 | gpu_forward_sec=0.000 | postprocess_sec=0.000 | fallback_used=1 | fallback_reason=Could not locate TabPFN ensemble members for classifier type TabPFNClassifier. | time_sec=14.883
[TabPFN sync] step=013 | gen=001/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.010 | query_transform_sec=0.000 | batch_prepare_sec=0.000 | gpu_forward_sec=0.000 | postprocess_sec=0.000 | fallback_used=1 | fallback_reason=Could not locate TabPFN ensemble members for classifier type TabPFNClassifier. | time_sec=15.675
[TabPFN sync] step=013 | gen=002/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | query_transform_sec=0.000 | batch_prepare_sec=0.000 | gpu_forward_sec=0.000 | postprocess_sec=0.000 | fallback_used=1 | fallback_reason=Could not locate TabPFN ensemble members for classifier type TabPFNClassifier. | time_sec=11.892
[TabPFN sync] step=013 | sigma | mode=std | envs=24 | points=895 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.000 | query_transform_sec=0.000 | batch_prepare_sec=0.000 | gpu_forward_sec=0.000 | postprocess_sec=0.000 | fallback_used=1 | fallback_reason=Could not locate TabPFN ensemble members for classifier type TabPFNClassifier. | time_sec=11.882
[TabPFN sync] step=014 | gen=001/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.013 | query_transform_sec=0.000 | batch_prepare_sec=0.000 | gpu_forward_sec=0.000 | postprocess_sec=0.000 | fallback_used=1 | fallback_reason=Could not locate TabPFN ensemble members for classifier type TabPFNClassifier. | time_sec=17.330
[TabPFN sync] step=014 | gen=002/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | query_transform_sec=0.000 | batch_prepare_sec=0.000 | gpu_forward_sec=0.000 | postprocess_sec=0.000 | fallback_used=1 | fallback_reason=Could not locate TabPFN ensemble members for classifier type TabPFNClassifier. | time_sec=14.337
[TabPFN sync] step=014 | sigma | mode=std | envs=24 | points=869 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.000 | query_transform_sec=0.000 | batch_prepare_sec=0.000 | gpu_forward_sec=0.000 | postprocess_sec=0.000 | fallback_used=1 | fallback_reason=Could not locate TabPFN ensemble members for classifier type TabPFNClassifier. | time_sec=12.467
[TabPFN sync] step=015 | gen=001/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.013 | query_transform_sec=0.000 | batch_prepare_sec=0.000 | gpu_forward_sec=0.000 | postprocess_sec=0.000 | fallback_used=1 | fallback_reason=Could not locate TabPFN ensemble members for classifier type TabPFNClassifier. | time_sec=16.130
[TabPFN sync] step=015 | gen=002/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.038 | query_transform_sec=0.000 | batch_prepare_sec=0.000 | gpu_forward_sec=0.000 | postprocess_sec=0.000 | fallback_used=1 | fallback_reason=Could not locate TabPFN ensemble members for classifier type TabPFNClassifier. | time_sec=16.466
[TabPFN sync] step=015 | sigma | mode=std | envs=24 | points=837 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.000 | query_transform_sec=0.000 | batch_prepare_sec=0.000 | gpu_forward_sec=0.000 | postprocess_sec=0.000 | fallback_used=1 | fallback_reason=Could not locate TabPFN ensemble members for classifier type TabPFNClassifier. | time_sec=11.886
[TabPFN sync] step=016 | gen=001/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.013 | query_transform_sec=0.000 | batch_prepare_sec=0.000 | gpu_forward_sec=0.000 | postprocess_sec=0.000 | fallback_used=1 | fallback_reason=Could not locate TabPFN ensemble members for classifier type TabPFNClassifier. | time_sec=13.416
